sample_id,abbr_id,sample_location,acbr,litho,lat,lon,proj_x_epsg3031,proj_y_epsg3031,matrix_position
RM2-1,RM,Shackleton Glacier,Transantarctic Mountains,c,-85.48788333,-177.1844,-24077.318548324776,-489564.5999952003,144
RM3-1,RM,Shackleton Glacier,Transantarctic Mountains,c,-85.4869,-177.20715,-23888.139391009132,-489680.92982146377,145
RM3-8,RM,Shackleton Glacier,Transantarctic Mountains,c,-85.48116667,-177.1326333,-24556.168831958275,-490272.1571350079,146
SH1-1,SH,Shackleton Glacier,Transantarctic Mountains,s,-85.35655,-175.1108,-42992.909523147544,-502603.7716083459,147
SH1-6,SH,Shackleton Glacier,Transantarctic Mountains,s,-85.35123333,-175.1727333,-42498.259539183906,-503226.1333036166,148
SH2-1,SH,Shackleton Glacier,Transantarctic Mountains,s,-85.35905,-175.0787333,-43250.869727311416,-502308.7376800515,149
SH3-2,SH,Shackleton Glacier,Transantarctic Mountains,s,-85.3597,-175.0693,-43327.494227208925,-502231.17875463003,150
SH3-8,SH,Shackleton Glacier,Transantarctic Mountains,c,-85.35691667,-175.1621,-42539.520873314104,-502602.32765519596,151
TGV1-1,TGV,Shackleton Glacier,Transantarctic Mountains,g,-84.92033333,-176.9902,-28977.92166670782,-551128.0217999573,152
TGV1-8,TGV,Shackleton Glacier,Transantarctic Mountains,c,-84.91536667,-176.8791333,-30075.63489823625,-551610.3605291916,153
TGV2-1,TGV,Shackleton Glacier,Transantarctic Mountains,c,-84.91903333,-177.06025,-28311.342859221084,-551304.285790986,154
TGV3-1,TGV,Shackleton Glacier,Transantarctic Mountains,g,-84.90956667,-177.0217333,-28735.459238499046,-552313.667946143,155
TGV3-9,TGV,Shackleton Glacier,Transantarctic Mountains,c,-84.91368333,-176.8831667,-30046.76130825457,-551795.3452307897,156
TN1-1,TN,Shackleton Glacier,Transantarctic Mountains,w,-84.92571667,-176.0692333,-37792.42524849188,-550006.7563145013,157
TN1-8,TN,Shackleton Glacier,Transantarctic Mountains,w,-84.91481667,-176.1509167,-37087.87866280216,-551243.2661681989,158
TN2-1,TN,Shackleton Glacier,Transantarctic Mountains,w,-84.92381667,-176.0987667,-37522.98032882917,-550232.3942536619,159
TN3-1,TN,Shackleton Glacier,Transantarctic Mountains,w,-84.92271667,-176.1242333,-37286.50070028984,-550368.4184443395,160
TN3-5,TN,Shackleton Glacier,Transantarctic Mountains,w,-84.9182,-176.1281667,-37281.89847259594,-550861.2462431273,161
VV-0,VV,Virginia Valley,South Victoria Land,c,-77.4934,160.85305,447220.78813219996,-1288082.0217223603,162
VV-d,VV,Virginia Valley,South Victoria Land,c,-77.4934,160.85305,447220.78813219996,-1288082.0217223603,163
VV-J,VV,Virginia Valley,South Victoria Land,c,-77.4934,160.85305,447220.78813219996,-1288082.0217223603,164
VV-L,VV,Virginia Valley,South Victoria Land,c,-77.4934,160.85305,447220.78813219996,-1288082.0217223603,165
WV-BA 1,WV,Wall Valley: Recon,South Victoria Land,s,-77.49556,160.87517,446645.6754845654,-1288030.2428309578,166
WV-UNN 1,WV,Wall Valley: Recon,South Victoria Land,c,-77.48,160.85,447772.5825659125,-1289449.7615085023,167
WV-UNN 3,WV,Wall Valley: Recon,South Victoria Land,c,-77.48,160.85,447772.5825659125,-1289449.7615085023,168
WV-UNN-2,WV,Wall Valley: Recon,South Victoria Land,c,-77.48,160.85,447772.5825659125,-1289449.7615085023,169
WV-ZS 2,WV,Wall Valley: Recon,South Victoria Land,s,-77.498933,160.849133,447109.3117372432,-1287476.8736625416,170
