sample_id,sample_location,acbr,litho,lat,lon,proj_x_epsg3031,proj_y_epsg3031,wgs84_elev_from_pgc,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_dem,region_tm,region_svl,region_nvl,region_nwap
MSP1-4,Shackleton Glacier,Transantarctic Mountains,g,-84.48296667,-176.4805333,-36800.74994029674,-598350.6052253838,135.0,2.3,168.8,-21.17,15.7,267.0,1,0,0,0
MSP2-1,Shackleton Glacier,Transantarctic Mountains,g,-84.48188333,-176.5069667,-36531.88070121229,-598485.2058292622,239.0,2.4,168.8,-21.17,23.4,266.5,1,0,0,0
MSP3-1,Shackleton Glacier,Transantarctic Mountains,g,-84.48191667,-176.4879,-36730.81831888345,-598469.393987277,156.0,2.3,168.8,-21.17,21.6,253.7,1,0,0,0
MSP3-4,Shackleton Glacier,Transantarctic Mountains,g,-84.48018333,-176.4880833,-36740.459566837366,-598657.8055045175,140.0,2.2,168.8,-21.17,19.4,253.0,1,0,0,0
MW2-1,Shackleton Glacier,Transantarctic Mountains,w,-84.55958333,-176.8112167,-32882.94107114233,-590227.6531203381,270.0,9.4,168.8,-21.17,16.9,290.8,1,0,0,0
NP1-1,Shackleton Glacier,Transantarctic Mountains,w,-84.53455,-175.4222333,-47397.80934497589,-591972.8031233506,628.0,2.4,139.9,-21.73,30.6,171.5,1,0,0,0
NP2-1,Shackleton Glacier,Transantarctic Mountains,w,-84.53481667,-175.4262,-47354.511503547605,-591947.1538621167,632.0,2.4,139.9,-21.73,8.3,132.3,1,0,0,0
NP3-1,Shackleton Glacier,Transantarctic Mountains,w,-84.5346,-175.4231667,-47387.731357509285,-591968.151046973,629.0,2.4,139.9,-21.73,17.9,164.0,1,0,0,0
NP3-4,Shackleton Glacier,Transantarctic Mountains,w,-84.53441667,-175.4166,-47457.17118532136,-591982.6040361967,622.0,2.4,139.9,-21.73,23.6,169.1,1,0,0,0
NP4-5,Shackleton Glacier,Transantarctic Mountains,w,-84.53315,-175.3152333,-48515.68057820096,-592035.108535021,85.0,3.1,139.9,-21.73,6.5,245.2,1,0,0,0
ON-10,Onyx River,South Victoria Land,c,-77.46795,162.42593,412541.1312076836,-1302539.4071067593,192.945,27.8,39.0,-30.23,1.1,308.2,0,1,0,0
OR-4,Onyx River,South Victoria Land,c,-77.5246,161.8972,422608.33001913957,-1292757.8715071462,93.344,38.4,37.0,-31.26,1.2,352.6,0,1,0,0
OR-8,Onyx River,South Victoria Land,c,-77.51402,162.13828,417521.857348078,-1295631.5348624897,118.896,32.9,37.0,-31.26,0.7,333.9,0,1,0,0
RM1-1,Shackleton Glacier,Transantarctic Mountains,c,-85.4909,-177.1771667,-24122.96732478044,-489233.8979639517,1759.0,104.2,49.3,-36.99,12.7,222.4,1,0,0,0
RM1-8,Shackleton Glacier,Transantarctic Mountains,c,-85.48678333,-177.0993667,-24809.913395878935,-489647.79705592646,1690.0,103.7,49.3,-36.99,3.2,179.3,1,0,0,0
RM2-1,Shackleton Glacier,Transantarctic Mountains,c,-85.48788333,-177.1844,-24077.318548324776,-489564.5999952003,1727.0,103.9,49.3,-36.99,16.2,260.5,1,0,0,0
RM3-1,Shackleton Glacier,Transantarctic Mountains,c,-85.4869,-177.20715,-23888.139391009132,-489680.92982146377,1739.0,103.8,49.3,-36.99,14.2,276.7,1,0,0,0
RM3-8,Shackleton Glacier,Transantarctic Mountains,c,-85.48116667,-177.1326333,-24556.168831958275,-490272.1571350079,1644.0,103.1,49.3,-36.99,7.3,195.4,1,0,0,0
SH1-1,Shackleton Glacier,Transantarctic Mountains,s,-85.35655,-175.1108,-42992.909523147544,-502603.7716083459,2095.0,89.0,41.6,-36.24,5.6,28.3,1,0,0,0
SH1-6,Shackleton Glacier,Transantarctic Mountains,s,-85.35123333,-175.1727333,-42498.259539183906,-503226.1333036166,2008.0,88.4,41.6,-36.24,0.7,129.1,1,0,0,0
